timestamp,open,high,low,close,volume
20250402 00:00,12370.9,12442.8,12340.15,12429.9,0
20250403 00:00,12342.25,12352.7,12292.0,12303.75,0
20250404 00:00,12211.8,12234.05,11994.25,12019.1,0
20250407 00:00,11381.1,11749.5,11375.5,11703.4,0
20250408 00:00,11875.95,11991.3,11768.25,11894.5,0
20250409 00:00,11835.85,11840.25,11753.0,11785.55,0
20250411 00:00,11939.55,12020.85,11922.45,11967.85,0
20250415 00:00,12237.6,12237.6,12119.35,12168.65,0
20250416 00:00,12159.05,12217.5,12088.95,12205.2,0
20250417 00:00,12167.95,12374.65,12095.75,12362.05,0
20250421 00:00,12410.4,12556.45,12392.65,12504.85,0
20250422 00:00,12510.2,12514.75,12410.25,12477.1,0
20250423 00:00,12607.2,12671.35,12557.3,12666.4,0
20250424 00:00,12647.0,12692.5,12620.55,12638.0,0
20250425 00:00,12666.6,12723.9,12486.6,12565.5,0
20250428 00:00,12534.2,12700.15,12525.45,12673.25,0
20250429 00:00,12696.95,12728.75,12613.25,12652.0,0
20250430 00:00,12656.15,12678.55,12533.1,12615.05,0
20250502 00:00,12599.55,12776.0,12575.65,12644.05,0
20250505 00:00,12667.1,12724.25,12648.95,12671.55,0
20250506 00:00,12684.05,12692.85,12595.55,12621.1,0
20250507 00:00,12507.3,12659.65,12503.65,12635.7,0
20250508 00:00,12647.75,12657.8,12525.45,12587.75,0
20250509 00:00,12410.0,12524.4,12406.1,12485.85,0
20250512 00:00,12701.8,13034.0,12690.9,13025.4,0
20250513 00:00,12984.0,13021.35,12774.45,12793.05,0
20250514 00:00,12799.1,12894.3,12775.05,12855.9,0
20250515 00:00,12863.6,13080.05,12757.65,13058.4,0
20250516 00:00,13069.25,13069.25,12979.65,13010.4,0
20250519 00:00,12983.65,13025.4,12937.1,12958.5,0
20250520 00:00,13008.55,13036.55,12856.5,12866.6,0
20250521 00:00,12906.1,12977.3,12853.25,12907.7,0
20250522 00:00,12862.35,12863.1,12696.1,12774.85,0
20250523 00:00,12816.0,12956.05,12800.35,12893.45,0
20250526 00:00,12944.25,13031.65,12935.0,12997.15,0
20250527 00:00,12986.7,13016.15,12825.65,12885.7,0
20250528 00:00,12871.6,12891.6,12823.85,12831.85,0
20250529 00:00,12888.2,12923.7,12805.65,12870.45,0
20250530 00:00,12847.5,12858.15,12759.75,12770.45,0
20250602 00:00,12743.85,12770.9,12658.65,12748.75,0
20250603 00:00,12780.05,12815.2,12623.2,12658.3,0
20250604 00:00,12665.95,12685.0,12636.0,12659.05,0
20250605 00:00,12692.1,12800.45,12657.65,12717.9,0
20250606 00:00,12721.05,12825.3,12683.65,12818.0,0
20250609 00:00,12885.25,12899.4,12858.6,12871.45,0
20250610 00:00,12932.0,12972.3,12888.2,12951.35,0
20250611 00:00,12957.05,13054.7,12940.15,13025.55,0
20250612 00:00,13023.5,13024.4,12849.85,12885.7,0
20250613 00:00,12680.2,12825.4,12680.2,12806.1,0
